State,County2,FIPS
Illinois,Douglas County,17041
South Carolina,Darlington County,45031
Missouri,Washington County,29221
Kansas,McPherson County,20113
Pennsylvania,Venango County,42121
Missouri,Macon County,29121
Utah,Duchesne County,49013
Alabama,Bibb County,1007
Illinois,Jersey County,17083
Ohio,Williams County,39171
Virginia,Rockingham County,51165
Mississippi,Lamar County,28073
Maryland,St. Mary's County,24037
Alabama,Dale County,1045
Georgia,Paulding County,13223
Texas,Hockley County,48219
New York,Chemung County,36015
Colorado,Elbert County,8039
South Dakota,Brookings County,46011
Iowa,Black Hawk County,19013
Michigan,Isabella County,26073
Wyoming,Park County,56029
Ohio,Defiance County,39039
North Carolina,Stanly County,37167
Nebraska,Colfax County,31037
Virginia,Carroll County,51035
Ohio,Gallia County,39053
Montana,Pondera County,30073
Minnesota,Freeborn County,27047
Florida,Bradford County,12007
Washington,Clallam County,53009
Missouri,Pemiscot County,29155
Florida,Wakulla County,12129
Iowa,Jasper County,19099
Alabama,Lawrence County,1079
Virginia,Bedford County,51019
California,Trinity County,6105
Alabama,Franklin County,1059
Minnesota,Pine County,27115
Virginia,Stafford County,51179
Arkansas,Lonoke County,5085
New York,Essex County,36031
Pennsylvania,Susquehanna County,42115
Illinois,Marshall County,17123
Montana,Teton County,30099
Kentucky,Marshall County,21157
North Carolina,Nash County,37127
West Virginia,Marshall County,54051
Maryland,Garrett County,24023
Louisiana,Natchitoches Parish,22069
South Dakota,Codington County,46029
Iowa,Dubuque County,19061
Tennessee,Cumberland County,47035
Louisiana,Lincoln Parish,22061
Mississippi,Panola County,28107
Idaho,Nez Perce County,16069
California,Mono County,6051
Oklahoma,Cherokee County,40021
Pennsylvania,Greene County,42059
Maryland,Charles County,24017
Louisiana,Avoyelles Parish,22009
Virginia,Albemarle County,51003
Virginia,Suffolk city,51800
New York,Warren County,36113
Minnesota,Martin County,27091
Michigan,Delta County,26041
Montana,Stillwater County,30095
Virginia,Tazewell County,51185
Michigan,Osceola County,26133
Montana,Carbon County,30009
Mississippi,Prentiss County,28117
Minnesota,Benton County,27009
Pennsylvania,Tioga County,42117
Texas,Caldwell County,48055
Wisconsin,Dunn County,55033
Oklahoma,Rogers County,40131
Missouri,Howell County,29091
Alabama,Winston County,1133
North Carolina,Orange County,37135
Wisconsin,Monroe County,55081
Alabama,Coffee County,1031
Indiana,Floyd County,18043
South Carolina,Williamsburg County,45089
Missouri,Stone County,29209
Indiana,Wabash County,18169
New York,Ulster County,36111
Indiana,Dearborn County,18029
North Carolina,Edgecombe County,37065
North Carolina,Cleveland County,37045
Michigan,Mecosta County,26107
Nebraska,Saunders County,31155
Hawaii,Kauai County,15007
Texas,Bee County,48025
Georgia,Carroll County,13045
Oregon,Josephine County,41033
Georgia,Houston County,13153
Montana,Lake County,30047
Utah,San Juan County,49037
Ohio,Morrow County,39117
West Virginia,Monongalia County,54061
Michigan,Wexford County,26165
Virginia,Montgomery County,51121
Alabama,Marion County,1093
Kentucky,McCracken County,21145
Tennessee,Madison County,47113
Oklahoma,McCurtain County,40089
Pennsylvania,Carbon County,42025
South Dakota,Brown County,46013
Oklahoma,Sequoyah County,40135
Missouri,Harrison County,29081
Minnesota,Houston County,27055
Missouri,Wright County,29229
Missouri,Texas County,29215
Florida,Columbia County,12023
Florida,Madison County,12079
Oklahoma,Creek County,40037
Indiana,Montgomery County,18107
South Dakota,Todd County,46121
Louisiana,Washington Parish,22117
Utah,Sanpete County,49039
Alaska,Kenai Peninsula Borough,2122
Nebraska,Lincoln County,31111
Minnesota,Lincoln County,27081
Iowa,Woodbury County,19193
Tennessee,Roane County,47145
Maine,Sagadahoc County,23023
Missouri,Henry County,29083
South Carolina,Lancaster County,45057
Washington,Kittitas County,53037
Texas,Navarro County,48349
Indiana,Cass County,18017
New York,Allegany County,36003
Indiana,Ripley County,18137
Arkansas,Garland County,5051
Pennsylvania,McKean County,42083
California,Lassen County,6035
Nebraska,Dawson County,31047
Louisiana,Webster Parish,22119
North Carolina,Caldwell County,37027
Virginia,Spotsylvania County,51177
Mississippi,Monroe County,28095
Colorado,Delta County,8029
Minnesota,Crow Wing County,27035
Alabama,Covington County,1039
Maine,Lincoln County,23015
Ohio,Champaign County,39021
West Virginia,Fayette County,54019
Maryland,Allegany County,24001
Ohio,Hardin County,39065
Oregon,Benton County,41003
Indiana,Howard County,18067
Michigan,Dickinson County,26043
South Dakota,Oglala Lakota County,46033
Florida,Suwannee County,12121
West Virginia,Wyoming County,54109
Kentucky,Letcher County,21133
Virginia,Russell County,51167
Virginia,Wythe County,51197
Indiana,DeKalb County,18033
Indiana,Marshall County,18099
Texas,Brown County,48049
Texas,Wise County,48497
Mississippi,Sunflower County,28133
Massachusetts,Barnstable County,25001
Florida,Levy County,12075
Montana,Ravalli County,30081
North Carolina,Lincoln County,37109
Missouri,Webster County,29225
Kentucky,Carter County,21043
Minnesota,Nicollet County,27103
Alabama,Escambia County,1053
Kentucky,Hopkins County,21107
Oregon,Klamath County,41035
Mississippi,Pearl River County,28109
Missouri,Callaway County,29027
New Mexico,Grant County,35017
Iowa,Marion County,19125
Maine,Franklin County,23007
Wisconsin,Green County,55045
Texas,Gregg County,48183
Virginia,Roanoke County,51161
West Virginia,Jackson County,54035
Missouri,Dunklin County,29069
Wyoming,Sheridan County,56033
Missouri,Nodaway County,29147
Kentucky,Hardin County,21093
Florida,Highlands County,12055
Texas,Orange County,48361
Illinois,Saline County,17165
Colorado,Morgan County,8087
Louisiana,St. Martin Parish,22099
Florida,Walton County,12131
Ohio,Ottawa County,39123
Kentucky,Harlan County,21095
New Jersey,Salem County,34033
California,Inyo County,6027
Montana,Lewis and Clark County,30049
Texas,Wichita County,48485
Vermont,Lamoille County,50015
West Virginia,Mineral County,54057
Indiana,Jackson County,18071
North Carolina,Wilkes County,37193
Mississippi,Forrest County,28035
Florida,Charlotte County,12015
Missouri,Miller County,29131
Idaho,Bonner County,16017
Indiana,Harrison County,18061
New Mexico,Colfax County,35007
West Virginia,Greenbrier County,54025
North Carolina,Alamance County,37001
Texas,Kleberg County,48273
Indiana,Greene County,18055
Florida,Hernando County,12053
Minnesota,Brown County,27015
Indiana,Wayne County,18177
Oklahoma,Adair County,40001
Missouri,Scott County,29201
Kentucky,Johnson County,21115
Minnesota,Itasca County,27061
Florida,Okeechobee County,12093
Illinois,Wayne County,17191
Virginia,Wise County,51195
Utah,Uintah County,49047
Florida,Nassau County,12089
Kentucky,Barren County,21009
Arkansas,Boone County,5009
Florida,Gadsden County,12039
South Dakota,Lincoln County,46083
Nevada,Nye County,32023
Virginia,Roanoke city,51770
Tennessee,Claiborne County,47025
Wyoming,Natrona County,56025
Arkansas,Pope County,5115
Wisconsin,Lafayette County,55065
North Dakota,Ward County,38101
New York,Jefferson County,36045
Tennessee,Monroe County,47123
Minnesota,Becker County,27005
New York,Delaware County,36025
North Dakota,Morton County,38059
Kansas,Ford County,20057
Tennessee,Bradley County,47011
Alaska,Northwest Arctic Borough,2188
Louisiana,Richland Parish,22083
Minnesota,Kandiyohi County,27067
Tennessee,Maury County,47119
Minnesota,McLeod County,27085
Pennsylvania,Clarion County,42031
Washington,Island County,53029
Indiana,Boone County,18011
Florida,Jackson County,12063
Wisconsin,Juneau County,55057
Texas,Van Zandt County,48467
New York,Tioga County,36107
New York,Wayne County,36117
New York,Madison County,36053
Michigan,Menominee County,26109
New York,Chenango County,36017
Rhode Island,Washington County,44009
Louisiana,St. Mary Parish,22101
Florida,Hendry County,12051
Michigan,Cass County,26027
Virginia,Smyth County,51173
Indiana,Kosciusko County,18085
Minnesota,Steele County,27147
Arkansas,Sebastian County,5131
Virginia,Pittsylvania County,51143
Alabama,Limestone County,1083
Illinois,Boone County,17007
North Carolina,Rowan County,37159
Illinois,Pike County,17149
Oklahoma,Osage County,40113
Mississippi,Jones County,28067
Georgia,Douglas County,13097
Virginia,Portsmouth city,51740
Pennsylvania,Columbia County,42037
West Virginia,Boone County,54005
Texas,Uvalde County,48463
Kansas,Reno County,20155
Minnesota,Cass County,27021
South Carolina,Georgetown County,45043
Indiana,Henry County,18065
Tennessee,Lawrence County,47099
Wisconsin,Manitowoc County,55071
New Hampshire,Belknap County,33001
Arkansas,Mississippi County,5093
Wyoming,Laramie County,56021
Texas,Kerr County,48265
Indiana,Warrick County,18173
Vermont,Orleans County,50019
Mississippi,Coahoma County,28027
South Dakota,Lake County,46079
Washington,Whitman County,53075
Utah,Sevier County,49041
Colorado,Montrose County,8085
Pennsylvania,Armstrong County,42005
Iowa,Warren County,19181
New Jersey,Warren County,34041
Kentucky,Knox County,21121
Montana,Blaine County,30005
Wyoming,Campbell County,56005
New Jersey,Cape May County,34009
North Carolina,Burke County,37023
Vermont,Bennington County,50003
Montana,Roosevelt County,30085
Kentucky,Nelson County,21179
Minnesota,Fillmore County,27045
New York,Schenectady County,36093
Wisconsin,Trempealeau County,55121
Florida,Indian River County,12061
Alabama,Lauderdale County,1077
Wisconsin,Clark County,55019
Wyoming,Sweetwater County,56037
Tennessee,Wilson County,47189
Virginia,Augusta County,51015
Alabama,Chambers County,1017
Vermont,Franklin County,50011
Kentucky,Perry County,21193
West Virginia,Berkeley County,54003
Missouri,Lincoln County,29113
New Hampshire,Coos County,33007
Ohio,Pike County,39131
Kansas,Finney County,20055
Nebraska,Madison County,31119
Indiana,Noble County,18113
Indiana,LaPorte County,18091
West Virginia,Nicholas County,54067
New York,Ontario County,36069
Ohio,Seneca County,39147
Alabama,Autauga County,1001
Texas,Henderson County,48213
Tennessee,Robertson County,47147
Ohio,Guernsey County,39059
Virginia,Scott County,51169
Michigan,Marquette County,26103
Ohio,Preble County,39135
Wisconsin,Calumet County,55015
Indiana,Putnam County,18133
North Carolina,Wilson County,37195
New York,Franklin County,36033
Tennessee,Campbell County,47013
Indiana,Bartholomew County,18005
Iowa,Bremer County,19017
Texas,Nacogdoches County,48347
Tennessee,Gibson County,47053
West Virginia,Randolph County,54083
Mississippi,Warren County,28149
Louisiana,Iberia Parish,22045
Minnesota,Douglas County,27041
Alaska,Kusilvak Census Area,2270
South Carolina,Pickens County,45077
New Mexico,Cibola County,35006
Montana,Hill County,30041
Kentucky,Bell County,21013
Indiana,Grant County,18053
Montana,Glacier County,30035
Minnesota,Clay County,27027
Texas,Hunt County,48231
Kentucky,Madison County,21151
Missouri,Cape Girardeau County,29031
Washington,Adams County,53001
Texas,Willacy County,48489
Michigan,Chippewa County,26033
New York,Livingston County,36051
Arkansas,White County,5145
Alaska,Prince of Wales-Hyder Census Area,2198
Oklahoma,Pittsburg County,40121
Illinois,Logan County,17107
Montana,Big Horn County,30003
North Carolina,Halifax County,37083
New York,Cattaraugus County,36009
Nebraska,Platte County,31141
Kentucky,Oldham County,21185
Nebraska,Dodge County,31053
Illinois,Piatt County,17147
Minnesota,Isanti County,27059
Idaho,Madison County,16065
Mississippi,Leflore County,28083
Missouri,Cole County,29051
Pennsylvania,Northumberland County,42097
New Mexico,Taos County,35055
Alabama,DeKalb County,1049
Kentucky,Floyd County,21071
Colorado,Eagle County,8037
Mississippi,Bolivar County,28011
Florida,Putnam County,12107
Illinois,Shelby County,17173
Iowa,Johnson County,19103
Alabama,Colbert County,1033
Illinois,Monroe County,17133
Louisiana,Vermilion Parish,22113
Ohio,Athens County,39009
North Carolina,Wayne County,37191
Missouri,Lawrence County,29109
Delaware,Sussex County,10005
New Mexico,San Miguel County,35047
Georgia,Whitfield County,13313
Missouri,Polk County,29167
Ohio,Marion County,39101
Virginia,Washington County,51191
Ohio,Clinton County,39027
Michigan,Houghton County,26061
Kentucky,Greenup County,21089
Virginia,Hampton city,51650
Indiana,Dubois County,18037
Texas,Hardin County,48199
Texas,Medina County,48325
Wisconsin,Sauk County,55111
Florida,Monroe County,12087
Missouri,Buchanan County,29021
North Dakota,Burleigh County,38015
Missouri,Platte County,29165
Ohio,Holmes County,39075
Indiana,Vigo County,18167
Minnesota,Carlton County,27017
Iowa,Buchanan County,19019
Illinois,White County,17193
Alabama,Blount County,1009
Michigan,Branch County,26023
Ohio,Auglaize County,39011
South Dakota,Hutchinson County,46067
Illinois,Lee County,17103
Georgia,Cherokee County,13057
Wisconsin,Eau Claire County,55035
Ohio,Union County,39159
Pennsylvania,Clearfield County,42033
Minnesota,Blue Earth County,27013
Tennessee,Putnam County,47141
Pennsylvania,Adams County,42001
Kentucky,Pulaski County,21199
South Dakota,Spink County,46115
Pennsylvania,Crawford County,42039
Indiana,Shelby County,18145
Utah,Iron County,49021
California,Yuba County,6115
Ohio,Highland County,39071
Nebraska,Hall County,31079
Vermont,Addison County,50001
Massachusetts,Franklin County,25011
California,Tuolumne County,6109
Ohio,Perry County,39127
Oklahoma,Muskogee County,40101
Ohio,Fulton County,39051
Idaho,Jefferson County,16051
Ohio,Madison County,39097
Tennessee,Hawkins County,47073
Wisconsin,Jefferson County,55055
Minnesota,Rice County,27131
Michigan,Newaygo County,26123
Tennessee,Anderson County,47001
Ohio,Sandusky County,39143
Iowa,Story County,19169
Pennsylvania,Indiana County,42063
Illinois,Randolph County,17157
Alaska,Nome Census Area,2180
Arkansas,Crittenden County,5035
Illinois,Fayette County,17051
Virginia,Hanover County,51085
New Hampshire,Carroll County,33003
Delaware,Kent County,10001
Pennsylvania,Bradford County,42015
Texas,Bowie County,48037
Connecticut,Windham County,9015
Wisconsin,Waupaca County,55135
Ohio,Brown County,39015
Wisconsin,Marinette County,55075
South Carolina,Aiken County,45003
Oklahoma,Texas County,40139
Pennsylvania,Bedford County,42009
New Hampshire,Sullivan County,33019
Maine,Knox County,23013
New York,Washington County,36115
Tennessee,Carter County,47019
Wisconsin,Polk County,55095
Washington,Douglas County,53017
Indiana,Monroe County,18105
South Carolina,Horry County,45051
Kentucky,Boyd County,21019
North Carolina,Cabarrus County,37025
Florida,Citrus County,12017
West Virginia,Logan County,54045
Kentucky,Boone County,21015
North Carolina,Pitt County,37147
Montana,Fergus County,30027
Connecticut,New London County,9011
Oregon,Yamhill County,41071
Virginia,Chesapeake city,51550
New Jersey,Cumberland County,34011
New Mexico,Eddy County,35015
Ohio,Crawford County,39033
Indiana,Hancock County,18059
Missouri,Jasper County,29097
New York,Herkimer County,36043
New York,Rensselaer County,36083
Illinois,Hancock County,17067
Texas,Hale County,48189
Vermont,Orange County,50017
Ohio,Shelby County,39149
North Carolina,Randolph County,37151
Vermont,Washington County,50023
Ohio,Erie County,39043
Illinois,Union County,17181
Ohio,Geauga County,39055
Minnesota,Mille Lacs County,27095
North Carolina,Johnston County,37101
Illinois,McDonough County,17109
Tennessee,Greene County,47059
Hawaii,Maui County,15009
Indiana,Tippecanoe County,18157
Illinois,Effingham County,17049
Ohio,Ashland County,39005
North Carolina,Surry County,37171
Michigan,Hillsdale County,26059
Tennessee,Washington County,47179
Nebraska,Buffalo County,31019
California,Colusa County,6011
North Carolina,Robeson County,37155
West Virginia,Wayne County,54099
Florida,Santa Rosa County,12113
Wisconsin,Wood County,55141
New Mexico,Curry County,35009
Michigan,Barry County,26015
Nebraska,Scotts Bluff County,31157
Mississippi,Pike County,28113
Massachusetts,Berkshire County,25003
Alabama,Walker County,1127
Idaho,Cassia County,16031
Texas,Randall County,48381
Louisiana,Bossier Parish,22015
Vermont,Windham County,50025
Wisconsin,Ozaukee County,55089
Texas,Bastrop County,48021
Michigan,Clinton County,26037
Maine,Hancock County,23009
South Dakota,Pennington County,46103
Alabama,Jackson County,1071
Wisconsin,Kenosha County,55059
West Virginia,Marion County,54049
Louisiana,Acadia Parish,22001
Wisconsin,Pierce County,55093
Wisconsin,La Crosse County,55063
Michigan,Sanilac County,26151
North Carolina,Catawba County,37035
Ohio,Mercer County,39107
Illinois,Coles County,17029
Wisconsin,Vernon County,55123
Texas,Jim Wells County,48249
Ohio,Knox County,39083
Florida,Clay County,12019
South Carolina,Sumter County,45085
Maine,Waldo County,23027
West Virginia,Mercer County,54055
Kentucky,Bullitt County,21029
Washington,Kitsap County,53035
Indiana,Clark County,18019
Kansas,Wyandotte County,20209
Pennsylvania,Lawrence County,42073
Kentucky,Campbell County,21037
North Dakota,Rolette County,38079
Minnesota,Mower County,27099
Illinois,Clinton County,17027
Mississippi,Lowndes County,28087
Connecticut,Tolland County,9013
California,Glenn County,6021
Wyoming,Fremont County,56013
Iowa,Pottawattamie County,19155
Louisiana,Ascension Parish,22005
Ohio,Washington County,39167
Minnesota,Morrison County,27097
South Carolina,Berkeley County,45015
Ohio,Pickaway County,39129
New York,Broome County,36007
Missouri,Stoddard County,29207
Ohio,Belmont County,39013
Mississippi,Lauderdale County,28075
Ohio,Huron County,39077
North Carolina,New Hanover County,37129
Arkansas,Saline County,5125
Texas,Val Verde County,48465
Pennsylvania,Lycoming County,42081
Mississippi,Washington County,28151
Ohio,Jefferson County,39081
Florida,Bay County,12005
Indiana,Morgan County,18109
West Virginia,Raleigh County,54081
Illinois,Edgar County,17045
Oklahoma,Le Flore County,40079
Missouri,Christian County,29043
Oregon,Umatilla County,41059
Michigan,Gratiot County,26057
Washington,Grays Harbor County,53027
Kentucky,Daviess County,21059
Michigan,Midland County,26111
Kentucky,Whitley County,21235
Massachusetts,Hampshire County,25015
Georgia,Dougherty County,13095
Minnesota,Chisago County,27025
Kentucky,Laurel County,21125
West Virginia,Cabell County,54011
Wisconsin,Portage County,55097
Iowa,Scott County,19163
Illinois,Stephenson County,17177
Michigan,Bay County,26017
Connecticut,Middlesex County,9007
Texas,Potter County,48375
Maine,Oxford County,23017
West Virginia,Putnam County,54079
Montana,Cascade County,30013
Oregon,Malheur County,41045
Illinois,Montgomery County,17135
Texas,Brazos County,48041
Maryland,Washington County,24043
North Dakota,Williams County,38105
Arkansas,Jefferson County,5069
Louisiana,Tangipahoa Parish,22105
Wisconsin,Barron County,55005
Tennessee,Blount County,47009
Rhode Island,Kent County,44003
Ohio,Ross County,39141
Ohio,Putnam County,39137
North Carolina,Buncombe County,37021
New Hampshire,Cheshire County,33005
Washington,Cowlitz County,53015
Illinois,Jo Daviess County,17085
Alabama,St. Clair County,1115
New York,Steuben County,36101
Maryland,Harford County,24025
Oregon,Douglas County,41019
Wisconsin,Racine County,55101
Illinois,Christian County,17021
Indiana,Delaware County,18035
Texas,Angelina County,48005
New York,Clinton County,36019
Virginia,Norfolk city,51710
Arkansas,Faulkner County,5045
Illinois,Knox County,17095
New York,Niagara County,36063
Vermont,Rutland County,50021
Minnesota,Otter Tail County,27111
Virginia,Newport News city,51700
Indiana,Madison County,18095
Michigan,Grand Traverse County,26055
Utah,Summit County,49043
Kansas,Butler County,20015
Ohio,Lawrence County,39087
Idaho,Bannock County,16005
Missouri,Cass County,29037
New Mexico,Valencia County,35061
Illinois,Adams County,17001
Texas,Parker County,48367
Wisconsin,Columbia County,55021
Ohio,Allen County,39003
Washington,Stevens County,53065
Illinois,Jackson County,17077
Maine,Washington County,23029
Maine,Somerset County,23025
Florida,Okaloosa County,12091
New York,Chautauqua County,36013
Wisconsin,Chippewa County,55017
Arkansas,Craighead County,5031
North Carolina,Iredell County,37097
South Carolina,Lexington County,45063
California,Lake County,6033
Alaska,Anchorage Municipality,2020
Utah,Box Elder County,49003
Colorado,Garfield County,8045
Texas,Liberty County,48291
Mississippi,Rankin County,28121
Maine,Androscoggin County,23001
Texas,Grayson County,48181
Pennsylvania,Fayette County,42051
Alabama,Elmore County,1051
Wisconsin,Dodge County,55027
South Carolina,Florence County,45041
New Jersey,Sussex County,34037
Mississippi,Lee County,28081
Wisconsin,Fond du Lac County,55039
South Carolina,York County,45091
Washington,Thurston County,53067
West Virginia,Harrison County,54033
Kentucky,Pike County,21195
Texas,Smith County,48423
Wisconsin,Washington County,55131
Vermont,Windsor County,50027
Illinois,Williamson County,17199
Montana,Missoula County,30063
Pennsylvania,Centre County,42027
Pennsylvania,Franklin County,42055
Pennsylvania,Cumberland County,42041
Michigan,Lapeer County,26087
Kentucky,Warren County,21227
Texas,Taylor County,48441
Illinois,Bureau County,17011
North Carolina,Davidson County,37057
Alabama,Baldwin County,1003
Oregon,Linn County,41043
Ohio,Greene County,39057
Texas,Guadalupe County,48187
Washington,Okanogan County,53047
Texas,Victoria County,48469
Ohio,Darke County,39037
Pennsylvania,Lackawanna County,42069
West Virginia,Wood County,54107
Maryland,Carroll County,24013
California,Siskiyou County,6093
Montana,Yellowstone County,30111
Minnesota,Goodhue County,27049
Georgia,Henry County,13151
Pennsylvania,Mercer County,42085
Washington,Walla Walla County,53071
Mississippi,DeSoto County,28033
Nevada,Elko County,32007
New Hampshire,Strafford County,33017
Kentucky,Kenton County,21117
Illinois,Franklin County,17055
Pennsylvania,Blair County,42013
Illinois,Livingston County,17105
New Mexico,Rio Arriba County,35039
Texas,Hill County,48217
Alabama,Dallas County,1047
North Carolina,Gaston County,37071
Idaho,Bingham County,16011
Missouri,Boone County,29019
Iowa,Dallas County,19049
Utah,Tooele County,49045
Washington,Lewis County,53041
Illinois,Iroquois County,17075
New Jersey,Gloucester County,34015
Illinois,Henry County,17073
Florida,Martin County,12085
Georgia,Chatham County,13051
Ohio,Muskingum County,39119
Michigan,Calhoun County,26025
Wisconsin,Grant County,55043
Texas,Ellis County,48139
Pennsylvania,Lebanon County,42075
Pennsylvania,Somerset County,42111
Wisconsin,St. Croix County,55109
Texas,Maverick County,48323
Ohio,Clark County,39023
New York,Dutchess County,36027
California,San Benito County,6069
Michigan,St. Joseph County,26149
Georgia,Forsyth County,13117
Arkansas,Benton County,5007
Michigan,Huron County,26063
Illinois,Fulton County,17057
New York,Orange County,36071
New Mexico,Sandoval County,35043
Texas,San Patricio County,48409
Tennessee,Sevier County,47155
Arizona,Graham County,4009
Florida,Escambia County,12033
Florida,Sarasota County,12115
Tennessee,Sumner County,47165
Missouri,St. Francois County,29187
Hawaii,Hawaii County,15001
Illinois,Marion County,17121
Ohio,Ashtabula County,39007
Texas,Wilson County,48493
Michigan,Van Buren County,26159
Mississippi,Jackson County,28059
Florida,Marion County,12083
Nebraska,Sarpy County,31153
Pennsylvania,Schuylkill County,42107
Georgia,Muscogee County,13215
Maryland,Frederick County,24021
Indiana,Johnson County,18081
South Carolina,Anderson County,45007
Illinois,Grundy County,17063
Indiana,St. Joseph County,18141
Illinois,Morgan County,17137
California,Sutter County,6101
Michigan,Tuscola County,26157
Ohio,Scioto County,39145
Idaho,Twin Falls County,16083
Michigan,Ionia County,26067
Pennsylvania,Northampton County,42095
Minnesota,Beltrami County,27007
Ohio,Hancock County,39063
Missouri,Franklin County,29071
New York,Oswego County,36075
Alabama,Shelby County,1117
North Dakota,Cass County,38017
Florida,Lake County,12069
Illinois,Ogle County,17141
Alabama,Lee County,1081
Illinois,Jefferson County,17081
Tennessee,Rutherford County,47149
Vermont,Chittenden County,50007
Michigan,Shiawassee County,26155
Alabama,Cullman County,1043
New York,Rockland County,36087
Alaska,Yukon-Koyukuk Census Area,2290
Alabama,Marshall County,1095
California,Tehama County,6103
Wisconsin,Sheboygan County,55117
New York,Albany County,36001
Indiana,Elkhart County,18039
Maryland,Howard County,24027
Wisconsin,Winnebago County,55139
Minnesota,Scott County,27139
South Carolina,Orangeburg County,45075
Kentucky,Fayette County,21067
New Jersey,Hunterdon County,34019
Wisconsin,Walworth County,55127
Ohio,Wood County,39173
Georgia,Hall County,13139
Maine,Aroostook County,23003
Mississippi,Harrison County,28047
Montana,Flathead County,30029
Texas,Kaufman County,48257
Ohio,Miami County,39109
Illinois,Macoupin County,17117
North Carolina,Union County,37179
Indiana,Hendricks County,18063
Wisconsin,Rock County,55105
Tennessee,Sullivan County,47163
New York,St. Lawrence County,36089
Pennsylvania,Dauphin County,42043
Texas,Atascosa County,48013
Florida,St. Lucie County,12111
Mississippi,Madison County,28089
New Jersey,Atlantic County,34001
Pennsylvania,Cambria County,42021
Pennsylvania,Beaver County,42007
Virginia,Chesterfield County,51041
Oklahoma,Tulsa County,40143
Texas,Starr County,48427
New Jersey,Somerset County,34035
Louisiana,St. Tammany Parish,22103
New Mexico,Chaves County,35005
Pennsylvania,Butler County,42019
Michigan,Eaton County,26045
Michigan,Montcalm County,26117
Arkansas,Washington County,5143
South Carolina,Spartanburg County,45083
Connecticut,Litchfield County,9005
Washington,Skagit County,53057
Alabama,Calhoun County,1015
Indiana,Porter County,18127
Texas,Comal County,48091
Montana,Gallatin County,30031
Georgia,Bibb County,13021
Texas,Midland County,48329
New Mexico,Lea County,35025
Louisiana,St. Landry Parish,22097
New York,Saratoga County,36091
Washington,Whatcom County,53073
Illinois,Woodford County,17203
Wisconsin,Brown County,55009
Alabama,Talladega County,1121
Alabama,Morgan County,1103
Ohio,Columbiana County,39029
Alabama,Houston County,1069
North Carolina,Durham County,37063
New Mexico,Santa Fe County,35049
Tennessee,Hamilton County,47065
Minnesota,Sherburne County,27141
Minnesota,Carver County,27019
New York,Richmond County,36085
Illinois,Kankakee County,17091
California,Napa County,6055
Arizona,Santa Cruz County,4023
Oregon,Jackson County,41029
California,Nevada County,6057
Texas,Hays County,48209
Wisconsin,Marathon County,55073
Missouri,Clay County,29047
Maine,York County,23031
Virginia,Arlington County,51013
Ohio,Lake County,39085
Washington,Franklin County,53021
Oregon,Deschutes County,41017
Arizona,Gila County,4007
Virginia,Loudoun County,51107
Tennessee,Williamson County,47187
New Hampshire,Grafton County,33009
Florida,Volusia County,12127
Ohio,Richland County,39139
Ohio,Fairfield County,39045
Ohio,Portage County,39133
Utah,Cache County,49005
Colorado,Mesa County,8077
Washington,Chelan County,53007
Alabama,Etowah County,1055
Illinois,DeKalb County,17037
Michigan,Lenawee County,26091
Alabama,Madison County,1089
Iowa,Linn County,19113
Virginia,Virginia Beach city,51810
Idaho,Kootenai County,16055
Florida,Leon County,12073
Michigan,Berrien County,26021
New Hampshire,Merrimack County,33013
Louisiana,Calcasieu Parish,22019
California,Mendocino County,6045
Florida,Brevard County,12009
Illinois,Vermilion County,17183
Louisiana,Lafayette Parish,22055
Louisiana,Livingston Parish,22063
Florida,Alachua County,12001
Florida,St. Johns County,12109
Ohio,Medina County,39103
Illinois,Macon County,17115
Pennsylvania,Washington County,42125
Pennsylvania,Lehigh County,42077
Texas,Ector County,48135
Maryland,Anne Arundel County,24003
Michigan,Muskegon County,26121
Georgia,Richmond County,13245
Texas,Johnson County,48251
Ohio,Wayne County,39169
Virginia,Prince William County,51153
Louisiana,Rapides Parish,22079
Virginia,Richmond city,51760
Pennsylvania,Luzerne County,42079
Indiana,Allen County,18003
Ohio,Clermont County,39025
Illinois,Kendall County,17093
North Carolina,Forsyth County,37067
Maine,Kennebec County,23011
Missouri,St. Charles County,29183
Maine,Penobscot County,23019
Florida,Pasco County,12101
Minnesota,Olmsted County,27109
Pennsylvania,Erie County,42049
Michigan,St. Clair County,26147
Florida,Seminole County,12117
Florida,Manatee County,12081
California,Humboldt County,6023
Michigan,Monroe County,26115
Washington,Benton County,53005
South Dakota,Minnehaha County,46099
Ohio,Warren County,39165
Michigan,Livingston County,26093
Michigan,Allegan County,26005
Missouri,Greene County,29077
Georgia,Cobb County,13067
Texas,Bell County,48027
Ohio,Delaware County,39041
California,Shasta County,6089
Ohio,Tuscarawas County,39157
Oklahoma,Oklahoma County,40109
Illinois,Rock Island County,17161
California,Solano County,6095
New York,Oneida County,36065
Tennessee,Knox County,47093
Oregon,Multnomah County,41051
New York,Onondaga County,36067
Idaho,Bonneville County,16019
Missouri,Jefferson County,29099
California,El Dorado County,6017
Wisconsin,Outagamie County,55087
Ohio,Mahoning County,39099
Colorado,Pueblo County,8101
California,Butte County,6007
New Mexico,San Juan County,35045
California,Yolo County,6113
Indiana,Hamilton County,18057
Oregon,Lane County,41039
Michigan,Jackson County,26075
Kansas,Sedgwick County,20173
Alaska,Bethel Census Area,2050
Texas,Galveston County,48167
Louisiana,Orleans Parish,22071
Ohio,Lorain County,39093
